ID CUITAN;KALIMAT CUITAN
245;lagi hunting makanan nih guys di festival kuliner bareng temen gue, makanananya enak-enak kalian wajib dateng di tegal culinary festival
246;kayanya hangout di café sore ini seru ya gaiss
247;ini gue nonton konser bareng sm geng gue, gila seru polll
248;tadi gue abis balik dari acara pameran fotografi gitu, gue ketemu banyak orang yang kreatif-kreatif bgt
249;liburan di semarang, orangnya ramah-ramah banget, jadi pengin balik lagi ke semarang
250;gue sendirian nih dirumah, keluarga gue pada pergi, info jalan-jalan dong guys
251;gue nyimpen rahasia temen gue yang menurut gue itu kocak banget sii, kalian ada yang mau tau ga?
252;abis kenalan sama orang di people nearby line, orangnya baik banget dan asik, semoga cpt ketemu sm orangnya hihi
253;tetangga aku kalo sore pada gosip depan rumah, aku jadi ikutan nge gosip deh
254;ajakin gue jalan dong gaes, bosen bgt dirumah
255;gue di kosan bosen banget deh, ada yang mau ikut gue keluar motoran ga?
256;gue baru nerima kabar dari temen gue, kalo minggu depan dia mau maen ke kosan gue, seneng bgt deh dah lama ga ketemu juga
257;gilaa, mulut gue sampe kering nih gara-gara ngetawain tingkah temen gue
258;seneng banget akhirnya gue diterima magang, ga sabar ketemu orang-orang baru di kantor
259;gaes, cari hiburan yuu, bosen di rumah nihh
260;saranin makanan yang enak di sekitar kampus gaiss
261;temen gua kesenengan, abis gua kadoin baju 
262;kalian kalo hangout biasanya kemana gais, gua lagi pengin hangout nihh
263;tadi rumah gue rame bgt, krn temen-temen gua pada maen mendadak
264;bulan depan gue mau jalan-jalan nih ke bali sama keluarga gue, kalian ada yang mau ikut? Tapi bayar sendiri ya hihi
265;rekomendasiin gue hadiah buat ulang tahun temen gue dong
266;abis nongkrong di coffeshop bareng temen, rame bngt tadi, sampe antri pesennya
267;gue pengin ngerangkul temen gue yang dijauhin sama circlenya deh, kasian dia kynya gada temen lagi
268;gaiss, apa ini yang dinamain cinta? Ko gue abis ketemu sama temen lama gue, gue jadi baper gini hihi
269;hallo gais, aku user baru nih di twiit, bole mutualan ga sama kalian hehe
270;kalian kalo shopping biasanya sama siapa gais, sendiri kah? Kalo aku biasanya sama temen sih jadi biar lebih seru
271;abis pulang travelling bareng sama temen, seru abiss, jadi pengin travelling lagi
272;suntuk begini tandanya butuh jalan-jalan
273;falling in love sama orang twitter masa:(
274;lagi musim mutualan IG sebelum X di blokir, ada yang mau mutualan ga?
275;fomo deh pengin ikut bobotoh
276;cari barengan ke market days
277;eh ini depan gue siapa ya, pengin bgt gue ajakin kenalan anjir
278;gabut banget, call siapa yaa
279;cie-cie in gue pliss, tapi gatau sama siapa:(
280;temenin gue keluar yuuu
281;gue pengin basketan bareng sm temen sekolah gue deh
282;siapa yang mau nemenin aku kajian hanan attaki di bandung tgl 5 juni?
283;nanti malem night ride, gas ga sii?
284;sapa yang mau bawain gue bunga, mumpung di dpn kampus banyak yang jualan nih hihi
285;kangen ih sama kamu, ketemu mau gaa?
286;seneng banget abis diajak muterin semarang liat city light
287;bakso timin rame banget yaa, ada yang mau kesana? Ikut dong hehe
288;anak tegal ada yang mau nongkrong ga?
289;pengin mutualan deh, ayo follow followan
290;gue udah balik ke tegal, cepet infokan bukber gaiss
291;temen adik gue pada maen kerumah, akhirnya gue ikutan nimbrung sama mereka wkwk
292;sebutin hobi kalian gais, gue pengin nyoba nemuin hobi baru
293;kalian ada yang mau belanja bulanan ga? Bareng yuu
294;abis naik merapi lava tour gila seru banget, nguji adrenalin banget
295;abis cerita panjang lebar sama sahabat dari kecil, kangen banget ngobrol kaya gini
296;kumpul keluarga besar hari ini, ketawa bareng bikin hati adem hehe
297;bingung banget deh mau kasih kado apa ke sahabat gue, ada ide ga?
298;shopping bareng geng, banyak banget yang dibeli, seru banget deh
299;reuni alumni sekolah, ketemu banyak temen lama, seru abiss!
300;pagi ini gue abis jalan-jalan keliling desa, ketemu temen lama, kangen banget
301;mall rame banget yaa, tapi seru sii ketemu banyak orang
302;habis ikut malam keakraban bareng temen kelas, jadi lebih solid kelas kita
303;gue seneng banget hari ini ketemu banyak orang penting di acara HARGANAS
304;senyum terus dari tadi ketemu temen-temen, happy banget
305;ini gue sama temen gue abis nonton pengabdi setan 2 gilaa serem abis, nguji adrenalin bgtt
306;butuh tempat curhat, ada yang mau dengerin ga gais?
307;optimis banget si gue bakal lolos dari seleksi indonesian idol
308;ga sabar banget gue mau ke acara ulang tahun temen gue tar malem
309;acara tadi malem heboh banget sii, gilaa gue pengin acara itu diadain lagi
310;temen gue cerita lucu banget anjir, hampir sekelas ketawa terus ga berenti-berenti
311;gue punya hobby baru dan gue juga ketemu sama temen baru yang hobby nya sama ky gue, seneng bangettt
312;sumpahh tadi gue ketemu gebetan di konser musikk, gila ga nyangka banget bisa ketemu
313;sumpah tadi gue sama temen gue nongkrong di café, sampe cafenya mau tutup huhu
314;ketemu temen lama langsung gue rangkul, parah kangen banget
315;seneng banget deh gue bisa kenalan sama banyak orang baru di acara kampus tadi
316;ga sabar besok PPKMB, ketemu sama temen kuliah nanti dari daerah yang beda-beda
317;ini kapan lebarannya yaa, udah kangen banget pengen ketemu sodara-sodara
318;siapa yang malam minggunya dirumah aja? Maen yuu
319;tadi di tempat magang banyak banget anak dari kampus lain, seneng banget akhirnya gue bisa punya temen baruu
320;abis hangout sama temen, ketawa terus sampe perut gue sakitt
321;baru tau ternyata gebetan aku temen nya temenku, gila ya dunia sesempit ini huhu
